date,city,kitchen_id,item_name,category,price,orders,weekday,promo_flag,temperature,kitchen_capacity,delivery_distance_km,holiday_flag
2024-04-12,Hyderabad,KFHY1,Cold Coffee,Beverages,226,76,Friday,0,24,321,1.67,0
2024-11-26,Bangalore,KFBA4,Margherita Pizza,Main Course,219,108,Tuesday,0,39,508,7.77,0
2024-10-20,Delhi,KFDE4,Chicken Wrap,Snacks,396,37,Sunday,0,39,452,3.74,1
2024-02-18,Bangalore,KFBA3,Cold Coffee,Beverages,289,119,Sunday,1,32,389,1.18,1
2024-12-29,Kolkata,KFKO4,Brownie,Dessert,250,105,Sunday,0,38,528,0.99,1
2024-03-29,Hyderabad,KFHY2,Paneer Biryani,Main Course,384,94,Friday,0,37,291,3.8,0
2024-09-20,Kolkata,KFKO3,Pepperoni Pizza,Main Course,200,40,Friday,0,21,201,3.69,0
2024-02-23,Delhi,KFDE4,Pepperoni Pizza,Main Course,310,22,Friday,0,19,401,7.21,0
2024-09-26,Kolkata,KFKO4,Cold Coffee,Beverages,334,66,Thursday,0,33,436,2.54,0
2024-02-22,Delhi,KFDE1,Chicken Wrap,Snacks,307,113,Thursday,0,32,500,1.06,0
2024-11-22,Mumbai,KFMU4,Chicken Biryani,Main Course,255,92,Friday,0,36,280,5.84,0
2024-10-15,Bangalore,KFBA1,Paneer Biryani,Main Course,350,50,Tuesday,1,26,527,3.87,0
2024-02-17,Kolkata,KFKO3,Pepperoni Pizza,Main Course,335,41,Saturday,0,25,413,7.15,1
2024-08-14,Pune,KFPU3,Pepperoni Pizza,Main Course,250,5,Wednesday,0,31,558,0.8,0
2024-07-25,Kolkata,KFKO2,Paneer Biryani,Main Course,499,81,Thursday,0,24,440,2.86,0
2024-04-05,Hyderabad,KFHY2,Margherita Pizza,Main Course,350,113,Friday,0,21,212,1.08,0
2024-07-05,Bangalore,KFBA2,Chicken Wrap,Snacks,185,46,Friday,0,38,333,3.92,0
2024-04-17,Hyderabad,KFHY4,Pepperoni Pizza,Main Course,450,96,Wednesday,0,18,584,2.21,0
2024-04-30,Hyderabad,KFHY1,Chicken Biryani,Main Course,378,107,Tuesday,0,26,517,2.17,0
2024-11-02,Delhi,KFDE4,Brownie,Dessert,434,36,Saturday,0,26,379,3.23,1
2024-02-21,Hyderabad,KFHY2,Cold Coffee,Beverages,232,105,Wednesday,0,34,386,5.07,0
2024-05-09,Hyderabad,KFHY2,Cold Coffee,Beverages,343,101,Thursday,0,19,252,4.17,0
2024-06-08,Chennai,KFCH4,Cold Coffee,Beverages,443,59,Saturday,0,34,454,6.52,1
2024-11-20,Hyderabad,KFHY2,Pepperoni Pizza,Main Course,359,20,Wednesday,0,23,548,6.94,0
2024-09-08,Bangalore,KFBA4,Veg Wrap,Snacks,465,71,Sunday,0,37,551,1.22,1
2024-05-07,Kolkata,KFKO2,Brownie,Dessert,248,15,Tuesday,0,35,350,4.56,0
2024-10-24,Bangalore,KFBA3,Chicken Wrap,Snacks,263,99,Thursday,1,37,259,2.46,0
2024-10-30,Chennai,KFCH4,Margherita Pizza,Main Course,156,36,Wednesday,0,26,432,3.12,0
2024-10-30,Bangalore,KFBA4,Brownie,Dessert,173,37,Wednesday,0,28,312,1.71,0
2024-04-13,Hyderabad,KFHY2,Veg Wrap,Snacks,231,93,Saturday,0,35,583,2.79,1
2024-07-12,Chennai,KFCH3,Brownie,Dessert,288,104,Friday,0,18,597,2.94,0
2024-05-14,Bangalore,KFBA1,Brownie,Dessert,152,52,Tuesday,0,36,574,2.38,0
2024-06-06,Chennai,KFCH2,Margherita Pizza,Main Course,170,77,Thursday,1,19,476,4.27,0
2024-11-12,Bangalore,KFBA4,Veg Wrap,Snacks,311,53,Tuesday,0,29,419,4.02,0
2024-02-15,Pune,KFPU2,Veg Wrap,Snacks,499,116,Thursday,1,34,501,7.75,0
2024-07-06,Mumbai,KFMU4,Cold Coffee,Beverages,372,89,Saturday,0,18,455,4.14,1
2024-01-18,Mumbai,KFMU2,Cold Coffee,Beverages,173,81,Thursday,1,31,479,2.07,0
2024-12-07,Kolkata,KFKO2,Cold Coffee,Beverages,274,125,Saturday,1,34,303,5.73,1
2024-09-02,Kolkata,KFKO1,Paneer Biryani,Main Course,366,30,Monday,0,30,515,4.34,0
2024-11-08,Hyderabad,KFHY1,Chicken Wrap,Snacks,440,12,Friday,0,33,341,7.18,0
2024-05-22,Hyderabad,KFHY2,Paneer Biryani,Main Course,407,91,Wednesday,0,36,352,1.66,0
2024-07-08,Pune,KFPU2,Paneer Biryani,Main Course,177,90,Monday,0,27,525,2.77,0
2024-04-10,Mumbai,KFMU4,Margherita Pizza,Main Course,179,136,Wednesday,1,24,395,6.82,0
2024-12-15,Kolkata,KFKO3,Cold Coffee,Beverages,427,43,Sunday,1,27,357,0.81,1
2024-04-01,Delhi,KFDE3,Paneer Biryani,Main Course,348,99,Monday,1,26,595,3.57,0
2024-08-26,Delhi,KFDE4,Pepperoni Pizza,Main Course,237,52,Monday,0,30,572,5.29,0
2024-07-07,Kolkata,KFKO4,Cold Coffee,Beverages,188,26,Sunday,0,20,275,4.75,1
2024-03-26,Mumbai,KFMU1,Pepperoni Pizza,Main Course,339,73,Tuesday,0,31,403,0.63,0
2024-12-06,Kolkata,KFKO4,Chicken Biryani,Main Course,373,98,Friday,0,27,445,5.26,0
2024-10-16,Hyderabad,KFHY3,Paneer Biryani,Main Course,369,23,Wednesday,0,18,524,5.63,0
2024-01-16,Kolkata,KFKO2,Chicken Biryani,Main Course,279,95,Tuesday,0,29,377,4.8,0
2024-02-02,Mumbai,KFMU1,Veg Wrap,Snacks,220,16,Friday,0,18,367,7.29,0
2024-02-13,Pune,KFPU1,Chicken Wrap,Snacks,214,50,Tuesday,0,36,441,5.62,0
2024-12-02,Delhi,KFDE4,Margherita Pizza,Main Course,209,38,Monday,0,24,395,5.7,0
2024-04-23,Pune,KFPU3,Margherita Pizza,Main Course,495,40,Tuesday,0,21,593,3.68,0
2024-07-10,Bangalore,KFBA1,Veg Wrap,Snacks,155,86,Wednesday,0,22,467,3.72,0
2024-01-13,Kolkata,KFKO1,Veg Wrap,Snacks,480,51,Saturday,1,37,567,3.42,1
2024-07-05,Bangalore,KFBA1,Chicken Wrap,Snacks,352,23,Friday,0,24,483,7.63,0
2024-02-21,Bangalore,KFBA2,Cold Coffee,Beverages,263,73,Wednesday,0,37,578,2.1,0
2024-02-22,Kolkata,KFKO4,Chicken Biryani,Main Course,158,122,Thursday,1,24,597,4.62,0
2024-06-11,Kolkata,KFKO1,Veg Wrap,Snacks,450,43,Tuesday,1,26,273,6.78,0
2024-09-09,Chennai,KFCH3,Pepperoni Pizza,Main Course,260,44,Monday,0,35,482,5.8,0
2024-01-05,Pune,KFPU1,Pepperoni Pizza,Main Course,458,12,Friday,0,18,541,6.6,0
2024-11-22,Mumbai,KFMU1,Chicken Wrap,Snacks,411,74,Friday,0,36,563,4.69,0
2024-03-31,Delhi,KFDE2,Veg Wrap,Snacks,158,71,Sunday,0,35,419,4.79,1
2024-05-27,Hyderabad,KFHY4,Margherita Pizza,Main Course,480,43,Monday,0,30,547,7.72,0
2024-07-09,Hyderabad,KFHY1,Chicken Biryani,Main Course,431,37,Tuesday,0,23,257,0.59,0
2024-06-08,Pune,KFPU1,Cold Coffee,Beverages,268,84,Saturday,0,28,451,1.05,1
2024-08-14,Bangalore,KFBA4,Chicken Biryani,Main Course,166,109,Wednesday,0,32,200,5.21,0
2024-09-15,Kolkata,KFKO1,Veg Wrap,Snacks,131,90,Sunday,1,25,557,3.92,1
2024-05-01,Hyderabad,KFHY4,Paneer Biryani,Main Course,255,62,Wednesday,0,22,240,2.45,0
2024-05-24,Mumbai,KFMU1,Margherita Pizza,Main Course,331,81,Friday,0,30,245,1.07,0
2024-03-22,Bangalore,KFBA4,Margherita Pizza,Main Course,422,29,Friday,0,35,450,0.84,0
2024-04-28,Mumbai,KFMU2,Chicken Biryani,Main Course,265,121,Sunday,1,28,540,6.12,1
2024-04-07,Mumbai,KFMU3,Cold Coffee,Beverages,430,10,Sunday,0,22,550,6.12,1
2024-09-15,Pune,KFPU3,Margherita Pizza,Main Course,172,41,Sunday,0,36,344,2.31,1
2024-12-31,Mumbai,KFMU3,Margherita Pizza,Main Course,324,8,Tuesday,0,34,487,0.85,0
2024-04-04,Kolkata,KFKO2,Paneer Biryani,Main Course,281,58,Thursday,0,35,467,6.62,0
2024-08-23,Pune,KFPU2,Pepperoni Pizza,Main Course,370,61,Friday,0,32,406,6.39,0
2024-03-06,Bangalore,KFBA3,Cold Coffee,Beverages,311,102,Wednesday,0,19,537,3.44,0
2024-12-12,Bangalore,KFBA3,Paneer Biryani,Main Course,427,42,Thursday,0,32,229,5.17,0
2024-02-20,Mumbai,KFMU1,Margherita Pizza,Main Course,257,60,Tuesday,0,34,539,3.94,0
2024-02-03,Chennai,KFCH1,Paneer Biryani,Main Course,324,111,Saturday,0,28,570,4.53,1
2024-05-30,Kolkata,KFKO4,Cold Coffee,Beverages,493,20,Thursday,0,25,587,3.09,0
2024-07-13,Bangalore,KFBA3,Margherita Pizza,Main Course,279,54,Saturday,0,36,476,1.77,1
2024-04-01,Delhi,KFDE1,Pepperoni Pizza,Main Course,445,5,Monday,0,29,545,7.21,0
2024-03-18,Delhi,KFDE1,Veg Wrap,Snacks,192,30,Monday,0,39,438,4.34,0
2024-04-16,Kolkata,KFKO4,Margherita Pizza,Main Course,456,54,Tuesday,1,25,312,4.98,0
2024-07-25,Kolkata,KFKO3,Brownie,Dessert,333,18,Thursday,0,31,415,5.9,0
2024-06-02,Chennai,KFCH3,Brownie,Dessert,490,11,Sunday,0,31,562,4.49,1
2024-09-30,Delhi,KFDE2,Veg Wrap,Snacks,490,19,Monday,0,22,227,0.65,0
2024-09-29,Kolkata,KFKO2,Paneer Biryani,Main Course,245,48,Sunday,0,30,411,4.05,1
2024-03-07,Mumbai,KFMU1,Paneer Biryani,Main Course,230,104,Thursday,0,19,310,6.09,0
2024-08-23,Bangalore,KFBA2,Chicken Biryani,Main Course,220,19,Friday,1,19,514,7.9,0
2024-10-15,Pune,KFPU2,Margherita Pizza,Main Course,317,74,Tuesday,0,21,549,1.9,0
2024-11-13,Chennai,KFCH3,Brownie,Dessert,430,13,Wednesday,0,36,230,3.58,0
2024-02-05,Kolkata,KFKO2,Paneer Biryani,Main Course,339,89,Monday,1,23,317,2.43,0
2024-03-02,Mumbai,KFMU2,Cold Coffee,Beverages,322,12,Saturday,0,30,499,2.04,1
2024-04-27,Hyderabad,KFHY3,Chicken Wrap,Snacks,344,24,Saturday,0,32,200,5.08,1
2024-11-15,Chennai,KFCH1,Pepperoni Pizza,Main Course,258,104,Friday,0,20,360,3.27,0
2024-01-10,Pune,KFPU3,Paneer Biryani,Main Course,291,6,Wednesday,0,19,283,2.41,0
2024-04-10,Mumbai,KFMU1,Chicken Biryani,Main Course,157,39,Wednesday,0,34,268,6.73,0
2024-08-23,Delhi,KFDE2,Margherita Pizza,Main Course,495,91,Friday,1,29,234,7.45,0
2024-09-23,Mumbai,KFMU1,Pepperoni Pizza,Main Course,435,34,Monday,0,22,204,2.27,0
2024-03-18,Delhi,KFDE2,Chicken Wrap,Snacks,208,113,Monday,0,35,495,3.89,0
2024-04-13,Chennai,KFCH4,Veg Wrap,Snacks,244,42,Saturday,0,32,352,3.17,1
2024-11-04,Bangalore,KFBA3,Veg Wrap,Snacks,317,10,Monday,0,36,241,1.54,0
2024-01-15,Kolkata,KFKO1,Chicken Biryani,Main Course,350,31,Monday,0,23,296,5.8,0
2024-10-15,Chennai,KFCH4,Pepperoni Pizza,Main Course,441,14,Tuesday,0,27,552,1.27,0
2024-06-07,Kolkata,KFKO4,Margherita Pizza,Main Course,335,56,Friday,0,25,460,4.15,0
